时间戳,事件类型,详细信息
2025-10-14 09:30:51,摄像头检测,摄像头检测进程未运行
2025-10-14 09:30:51,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:30:51,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:30:55,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:30:55,检测控制,开始摄像头实时检测
2025-10-14 09:30:55,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:30:55,摄像头检测,摄像头检测进程已停止
2025-10-14 09:30:55,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:30:55,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:32:38,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:32:42,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:32:49,摄像头检测,摄像头检测进程未运行
2025-10-14 09:32:49,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:32:50,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:32:52,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:32:52,检测控制,开始摄像头实时检测
2025-10-14 09:32:52,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:32:53,摄像头检测,摄像头检测进程已停止
2025-10-14 09:32:53,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:32:53,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:33:39,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:34:09,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:34:13,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:34:33,摄像头检测,摄像头检测进程未运行
2025-10-14 09:34:33,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:34:34,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:34:37,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:34:37,检测控制,开始摄像头实时检测
2025-10-14 09:34:37,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:34:37,摄像头检测,摄像头检测进程已停止
2025-10-14 09:34:37,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --view-img --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:34:37,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:35:16,错误,摄像头检测进程意外退出，退出码: 1
2025-10-14 09:43:52,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:43:57,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:44:12,摄像头检测,摄像头检测进程未运行
2025-10-14 09:44:12,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:44:13,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:44:13,错误,监控检测进程失败: [WinError 10038] 在一个非套接字上尝试了一个操作。
2025-10-14 09:44:16,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:44:16,检测控制,开始摄像头实时检测
2025-10-14 09:44:16,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:44:16,摄像头检测,摄像头检测进程已停止
2025-10-14 09:44:16,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:44:16,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:44:16,错误,监控检测进程失败: [WinError 10038] 在一个非套接字上尝试了一个操作。
2025-10-14 09:44:26,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:44:26,摄像头检测,摄像头检测进程已停止
2025-10-14 09:44:29,摄像头检测,摄像头检测进程未运行
